"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
17873199894603039,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","✅Promo Bunga dan DP 0% 
✅Syarat mudah dan cepat 
✅Free 1x cicilan",15,"05/02/2026 21:03",https://www.instagram.com/stories/purapura.ponsel/3888631560535272770,"IG story",,Lifetime,1489,1280,0,0,,0,1441,,,
17848723308696205,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/02/2026 21:09",https://www.instagram.com/stories/purapura.ponsel/3888634365568331910,"IG story",,Lifetime,1746,1392,0,0,13,2,1698,,6,
18135167245557718,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 21:49",https://www.instagram.com/stories/purapura.ponsel/3888654823101506431,"IG story",,Lifetime,1679,1360,0,0,3,0,1580,,4,
18148143598428314,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 21:49",https://www.instagram.com/stories/purapura.ponsel/3888654854189725598,"IG story",,Lifetime,1691,1376,0,0,3,0,1595,,8,
18333221521223042,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 21:49",https://www.instagram.com/stories/purapura.ponsel/3888654914327618298,"IG story",,Lifetime,1586,1271,0,0,5,0,1548,,,1
18528290725073338,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 21:50",https://www.instagram.com/stories/purapura.ponsel/3888654974088081002,"IG story",,Lifetime,1688,1314,0,0,7,0,1641,,4,
18180941992391612,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 21:50",https://www.instagram.com/stories/purapura.ponsel/3888654988969506150,"IG story",,Lifetime,1628,1266,0,0,19,0,1570,,13,
18069809324321813,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/02/2026 23:00",https://www.instagram.com/stories/purapura.ponsel/3888690443245032851,"IG story",,Lifetime,1790,1438,0,0,9,2,1727,,,
17862261468684534,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,43,"05/02/2026 23:36",https://www.instagram.com/stories/purapura.ponsel/3888700332994400254,"IG story",,Lifetime,1694,1345,1,0,13,0,1652,,,
18115808260704540,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Yuk Ke store Sekarang🔥",28,"05/03/2026 01:19",https://www.instagram.com/stories/purapura.ponsel/3888758269217581961,"IG story",,Lifetime,1736,1495,2,1,9,0,1692,,,
17895769641304152,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,10,"05/03/2026 01:26",https://www.instagram.com/stories/purapura.ponsel/3888763598307287392,"IG story",,Lifetime,1631,1412,0,0,4,0,1597,,2,
18061873025448873,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,36,"05/03/2026 03:14",https://www.instagram.com/stories/purapura.ponsel/3888816118324990418,"IG story",,Lifetime,1875,1604,0,0,9,0,1775,,,
18094519304133545,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,12,"05/03/2026 03:24",https://www.instagram.com/stories/purapura.ponsel/3888822959075433332,"IG story",,Lifetime,1588,1416,0,0,3,0,1556,,,
18101954068797971,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""LOKER""SEKARANG🔥",10,"05/03/2026 03:36",https://www.instagram.com/stories/purapura.ponsel/3888829079210929878,"IG story",,Lifetime,1564,1426,0,0,7,0,1512,,,
17935350999057551,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,11,"05/03/2026 03:37",https://www.instagram.com/stories/purapura.ponsel/3888829494950355601,"IG story",,Lifetime,1599,1376,0,0,17,0,1537,41,,
18021127847835550,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""SERVICES""SEKARANG🚀",11,"05/03/2026 04:33",https://www.instagram.com/stories/purapura.ponsel/3888844451209279581,"IG story",,Lifetime,1586,1418,0,0,6,0,1551,,,
17940415770027675,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,5,"05/03/2026 04:34",https://www.instagram.com/stories/purapura.ponsel/3888858265485010947,"IG story",,Lifetime,1683,1436,0,0,7,1,1618,,19,1
17887194555487515,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,15,"05/03/2026 06:01",https://www.instagram.com/stories/purapura.ponsel/3888902286265039712,"IG story",,Lifetime,1909,1610,0,0,9,0,1797,,,
18088767209360559,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,46,"05/03/2026 06:11",https://www.instagram.com/stories/purapura.ponsel/3888906245185425337,"IG story",,Lifetime,1782,1489,0,0,9,0,1736,,,
18081226154540847,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/03/2026 07:06",https://www.instagram.com/stories/purapura.ponsel/3888934248858778972,"IG story",,Lifetime,1800,1505,0,0,18,0,1760,,7,
17971747986044942,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","yuk dm ""android"" sekarang🔥",18,"05/03/2026 19:02",https://www.instagram.com/stories/purapura.ponsel/3889295209302054749,"IG story",,Lifetime,2104,1775,1,0,8,1,2050,,,
